id,name,lat,lon,base_minutes,base_fee,unit_minutes,unit_fee,open_time,close_time,free,disabled
P01,강남역 공영주차장,37.4980,127.0276,30,2000,15,800,00:00,23:59,false,true
P02,강남역 남측 민영주차장,37.4965,127.0285,30,3000,15,1000,09:00,22:00,false,false
P03,역삼동 무료 노상주차장,37.4995,127.0290,60,0,15,0,00:00,23:59,true,false
P04,강남대로 저렴주차장,37.4950,127.0260,60,1000,30,500,08:00,22:00,false,false
P05,홍대입구 공영주차장,37.5577,126.9245,30,1500,15,600,00:00,23:59,false,true
P06,홍대입구 무료주차장,37.5590,126.9255,120,0,30,0,09:00,21:00,true,false
P07,홍대 서교동 민영주차장,37.5560,126.9230,30,2500,15,900,10:00,23:00,false,false
P08,시청 공영주차장,37.5663,126.9779,30,2000,15,700,00:00,23:59,false,true
P09,시청 무료 노상주차장,37.5675,126.9790,60,0,15,0,09:00,18:00,true,false
P10,심야 운영 주차장(강남),37.4970,127.0300,30,2000,15,800,00:00,05:00,false,false
